Aréna Marcellin-Wilson,"11301, boul. De l'Acadie",Montréal
Aréna Martin Lapointe,"183, Des érables",Montréal
Aréna Martin St-Louis,"655, rue Sylvie",Laval
Aréna Martin-Brodeur,"5300, boul. Robert",Montréal
Aréna Maurice-Richard,"2800, rue Viau",Montréal
Aréna Michael-Bilodeau,"201, boul. Clairevue Est",Saint-Bruno-de-Montarville
Aréna Michel-Normandin,"3105, boul. Rome",Brossard
Aréna Michel-Normandin,"850, avenue Émile-Journault",Montréal
Aréna Mike Bossy,"163, boul. Ste-Rose Est",Laval 
Aréna Mont-Royal,"4365, rue Cartier",Montréal
Aréna municipal de Mont-Tremblant,"625, rue Cadieux",Mont-Tremblant
Aréna municipal de Saint-Jean-sur-Richelieu,"90, boul. Gouin",Saint-Jean-sur-Richelieu
Aréna municipal de Vaudreuil-Dorion,"9, boul. Jeannotte",Vaudreuil-Dorion
Aréna Olympia,"2950, rue Dumont",Longueuil
Aréna Père-Marquette,"1605, rue De Bellechasse",Montréal
"Aréna Pierre ""Pete"" Morin","1925, rue Saint-Antoine",Montréal
Aréna Raymond-Bourque,"2345, boul. Thimens",Montréal
Aréna régional de Huntingdon,"1567, rue Fairview",Huntingdon
Aréna régional de la Rivière-du-Nord,"750, rue Filion",Saint-Jérôme
Aréna René-Masson,"9175, boul. Perras",Montréal
Aréna Repentigny,"80, boul. Brien",Repentigny
Aréna Richard Trottier,"3155, rue Esther",Laval
Aréna Roberto-Luongo,"7755, rue Colbert",Montréal
Aréna Roch-Lasalle,"275, 1re avenue",Crabtree
Aréna Rodrigue-Gilbert,"1515, boul. Du Tricentenaire",Montréal
Aréna Rolland,"12000, boul. Rolland",Montréal
Aréna Ronald Caron (CEGEP Saint-Laurent),"625, avenue Sainte-Croix",Montréal
Aréna Saint-Canut,"15005, chemin Dupuis",Mirabel
Aréna Saint-Charles,"1055, rue d'Hibernia",Montréal
Aréna Saint-Donat,"6750, rue de Marseille",Montréal
Aréna Saint-François,"9449, rue de Tilly",Laval
Aréna Saint-Louis,"5633, rue Saint-Dominique",Montréal
Aréna Saint-Michel,"3440, rue Jarry Est",Montréal
Aréna Salaberry,"158, rue Nicholson",Salaberry-de-Valleyfield
Aréna Samuel-Moskovitch,"6985, chemin Mackle",Côte Saint-Luc
Aréna Ville Mont-Royal,"1050, chemin Dunkirk",Mont-Royal
Aréna YMCA,"4567, rue Hochelaga",Montréal
Aréna Yvon-Chartrand,"4100, boul. De la Concorde Est",Laval
Atrium - 1000 de La Gauchetière,"1000, rue de La Gauchetière",Montréal
Auditorium de Verdun,"4110, boul. LaSalle",Montréal
Centre Bell,"1909, avenue Des Canadiens-de-Montréal",Montréal
Centre civique de Salaberry-de-Valleyfield,"84, rue Marquette",Salaberry-de-Valleyfield
Centre civique Dollard-des-Ormeaux,"12001, boul. De Salaberry",Dollard-des-Ormeaux
Centre Communautaire intergénérationnel d'outremont,"999, ave. Mc Eachran",Montréal
Centre de la culture et du sport de Sainte-Julie,"201, boul. Armand-Frappier",Sainte-Julie
Centre des glaces Gilles-Chabot,"565, boul. de Mortagne",Boucherville
Centre des loisirs de Westmount,"4675, rue Sainte-Catherine",Westmount
Centre d'excellence Sports Rousseau,"3600, boul. De la Grande-Allée",Boisbriand
Centre multisport de Châteauguay,"255, Boulevard Brisebois",Châteauguay
Centre récréatif Aussant,"105, rue Saint-Joseph",Saint-Joseph-de-Sorel
Centre récréatif de Beaconsfield,"1974, City Lane",Beaconsfield
Centre récréatif Édouard-Rivet (aréna Ralph-Buchanan),"11111, rue Notre-Dame Est",Montréal-Est
Centre récréatif Marcel-Bonin,"265, rue Lajoie Sud",Joliette
Centre récréatif Saint-David,"25, rue Théroux",Saint-David de Yamaska
Centre sportif Ben Leduc,"172, 12e Rue",Ferme-Neuve
Centre sportif Damien-Hétu,"40, rue Brissette",Sainte-Agathe-des-Monts
Centre sportif de Delson,"100, boul. Delson",Delson
Centre sportif de La Prairie,"555, rue Notre-Dame",La Prairie
Centre sportif de Lorraine,"74, boul. De Gaulle",Lorraine
Centre sportif de Mercier,"18, rue du Parc",Mercier
Centre sportif de Saint-Antoine,"600, 35e avenue",Saint-Jérôme
Centre sportif de Ste-Anne-des-Plaines,"130, rue des Saisons",Sainte-Anne-des-Plaines
Centre sportif Dollard St-Laurent,"707, 75e avenue",Montréal
Centre sportif et culturel de Brandon,"155, rue Saint-Gabriel",Saint-Gabriel-de-Brandon
Centre sportif et culturel de la Vallée de la Rouge,"1550, chemin du Rapide",Rivière-Rouge
Centre sportif et culturel de Saint-Thimothée,"4949, boul. Hébert",Salaberry-de-Valleyfield
Centre sportif et culturel du Collège Saint-Jean-Vianney,"12640, boul. Gouin Est",Montréal
Centre sportif Gaétan-Boucher,"3850, rue Edgar",St-Hubert
Centre sportif Jacques-Lesage,"801, rue Alix",Mont-Laurier
Centre sportif régional de Contrecoeur,"1555, rue des Saules",Contrecoeur
Centre sportif régional des Copains,"4, rue des Copains",Sainte-Martine
Centre sportif régional Les Jardins du Québec,"170, rue St-Viateur",Saint-Rémi
Centre sportif régional Louis-Cyr,"50, rue de l'Aqueduc",Napierville
Centre sportif Robert Lebel,"995, avenue Simard",Chambly
Centre sportif Rosanne-Laflamme,"7405, Terrasse du Centre",St-Hubert
Centre sportif Saint-Lin-Laurentides,"490, rue Saint-Isidore",Saint-Lin-Laurentides
Centre sportif Soulanges,"100, rue des Loisirs",Saint-Polycarpe
Centre sportif Westwood arena,"750, avenue Thorncrest",Dorval
Colisée Cardin,"200, rue Victoria",Sorel-Tracy
Colisée de Laval,"1110, avenue Desnoyers",Laval
Colisée Isabelle-Brasseur,"965, rue Choquette",Saint-Jean-sur-Richelieu
Colisée Jean-Béliveau,"1755, boul. Jacques-Cartier Est",Longueuil
Complexe du Val d'Espoir,"17700, rue du Val d'Espoir",Mirabel
Complexe Hockey Bonaventure,"6605, chemin Côte-de-Liesse",Montréal
Complexe JC Perreault,"620, rue J.-Oswald-Forest",Saint-Roch-de-l'Achigan
Complexe Jean-Laurin,"8515, rue St-Jacques",Mirabel
Complexe récréatif Gadbois,"5485, chemin de la Côte Saint-Paul",Montréal
Complexe sportif Absolu,"15, rue Jacques-Cartier Nord",Saint-Jean-sur-Richelieu
Complexe sportif Bell,"8000, boul. Leduc",Brossard
Complexe sportif Chambly,"3000, boul. Fréchette",Chambly
Complexe sportif de Candiac,"10, rue Radisson",Candiac
Complexe sportif Guimond,"4355, autoroute Laval Ouest (440)",Laval
Complexe sportif Longueuil,"550, boul. Curée-Poirier Ouest",Longueuil
Complexe sportif Saint-Raphaël,"750, boul. Jacques-Bizard",Ïle Bizard
Complexe sportif SportScene,550 rue Jolliet,Mont-Saint-Hilaire
Complexe sportif St-Constant,"310, rue Wilfrid-Lamarche",Saint-Constant
Complexe sportif St-Lazare,"1850, rue des Loisirs",St-Lazare
Complexe Walter Buswell,"220, boul. Arthur-Sauvé",Saint-Eustache
Evolution Ice,"2068, route Transcanadienne",Dorval
Excellence sur glace,"2950, rue Edmond",Kirkland
Hockey Etcetera,"5920, chemin de la Côte-de-Liesse",Ville Mont-Royal
Kahnawake sports complex,Route 138,Kahnawake
Le Sportium,"105, place Charles-Lemoyne",Sainte-Catherine
